id,name,brand,price,rating,dpi,hand_orientation,model,scrape_datetime
16,logitech_g_pro_lightweight_wireless_optical_ambidextrous_gaming_mouse_with_rgb_lighting_black,logitech,128.51,4.5,25600_dpi,right_hand,910-005270,2024-09-15 17:39:07
17,evga_x17_gaming_mouse_wired_grey_customizable_16_000_dpi_5_profiles_10_buttons_ergonomic_903_w1_17gr_kr,logitech,26.99,3.9,16000_dpi,right_hand,903-W1-17GR-KR,2024-09-15 17:39:07
18,logitech_g502_x_lightspeed_wireless_gaming_mouse_optical_mouse_with_lightforce_hybrid_optical_mechanical_switches_hero_25k_gaming_sensor_compatible_with_pc_macos_windows_black,logitech,193.31,4.8,25600_dpi,right_hand,910-006178,2024-09-15 17:39:07
19,logitech_g305_lightspeed_wireless_gaming_mouse_hero_12k_sensor_12_000_dpi_lightweight_6_programmable_buttons_250h_battery_life_on_board_memory_pc_mac_black,asus,74.51,4.6,12000_dpi,right_hand,910-005280,2024-09-15 17:39:07
20,logitech_g502_x_plus_lightspeed_wireless_rgb_gaming_mouse_optical_mouse_with_lightforce_hybrid_switches_lightsync_rgb_hero_25k_gaming_sensor_compatible_with_pc_macos_windows_white,corsair,214.91,5,25600_dpi,right_hand,910-006169,2024-09-15 17:39:07
21,asus_rog_strix_impact_iii_wireless_gaming_mouse_57_g_lightweight_36k_dpi_sensor_bluetooth_2_4ghz_rf_rog_speednova_up_to_618hrs_battery_life_replaceable_switches_rog_omni_receiver_black,msi,103.67,5,36000_dpi,right_hand,90MP03D0-BMAA00,2024-09-15 17:39:07
22,corsair_m65_rgb_ultra_tunable_fps_gaming_mouse_marksman_26_000_dpi_optical_sensor_optical_switches_axon_hyper_processing_technology_sensor_fusion_control_tunable_weight_system_black,msi,103.67,3.4,26000_dpi,right_hand,CH-9309411-NA2,2024-09-15 17:39:07
23,msi_clutch_gm08_gaming_mouse_4200_dpi_optical_sensor_3_adjustable_weights_red_led_lighting_symmetrical_design,asus,23.75,4.4,4200_dpi,right_hand,S12-0401800-CLA,2024-09-15 17:39:07
24,msi_clutch_gm20_elite_gaming_mouse_6400_dpi_20m_clicks_omron_switch_optical_sensor_adjustable_weights_ergonomic_right_hand_design_rgb_mystic_light,asus,46.43,4.4,6400_dpi,right_hand,S12-0400D00-C54,2024-09-15 17:39:07
25,asus_rog_spatha_x_wireless_gaming_mouse_magnetic_charging_stand_12_programmable_buttons_19_000_dpi_push_fit_hot_swap_switch_sockets_rog_micro_switches_rog_paracord_and_aura_rgb_lighting_,logitech,222.47,4.2,19000_dpi,both_hands,90MP0220-BMUA00,2024-09-15 17:39:07
26,asus_rog_keris_ii_wl_ace_54_gram_ergonomic_mouse_42000_dpi_rog_micro_switch_speednova_wireless_technology_rog_polling_rate_booster_4000_hz_in_wireless_mode_up_to_8000_hz_in_wired_mode_black,asus,179.27,4.2,42000_dpi,right_hand,90MP03N0-BMUA00,2024-09-15 17:39:07
27,logitech_g703_lightspeed_wireless_gaming_mouse_w_hero_25k_sensor_powerplay_compatible_lightsync_rgb_lightweight_95g_10g_optional_100_25_600_dpi_rubber_side_grips_black,asus,133.91,4.4,25600_dpi,right_hand,910-005638,2024-09-15 17:39:07
28,asus_rog_gladius_iii_wireless_aimpoint_gaming_mouse_connectivity_2_4ghz_rf_bluetooth_wired_36_000_dpi_sensor_6_programmable_buttons_rog_speednova_replaceable_switches_paracord_cable_black,asus,149.03,5,36000_dpi,right_hand,90MP02Y0-BMAA00,2024-09-15 17:39:07
29,asus_rog_harpe_ace_aim_lab_edition_gaming_mouse_54_g_ultra_lightwieght_connectivity_2_4ghz_rf_bluetooth_wired_36k_dpi_sensor_5_programmable_buttons_rog_speednova_esports_fps_gaming_black,logitech,222.47,5,36000_dpi,right_hand,90MP02W0-BMAA00,2024-09-15 17:39:07
30,asus_rog_keris_ultra_lightweight_wired_gaming_mouse_tuned_rog_16_000_dpi_sensor_hot_swappable_switches_pbt_l_r_keys_swappable_side_buttons_rog_omni_mouse_feet_rog_paracord_aura_sync_rgb,corsair,60.47,4,16000_dpi,both_hands,90MP01R0-B0UA00,2024-09-15 17:39:07
31,logitech_g_pro_x_superlight_2_lightspeed_wireless_gaming_mouse_lightweight_lightforce_hybrid_switches_hero_2_sensor_32_000_dpi_5_programmable_buttons_usb_c_charging_pc_mac_black,msi,217.07,4,32000_dpi,right_hand,910-006628,2024-09-15 17:39:07
32,corsair_ironclaw_wireless_rgb_fps_and_moba_gaming_mouse_18_000_dpi_optical_sensor_sub_1_ms_slipstream_wireless,logitech,119.87,3.1,18000_dpi,both_hands,CH-9317011-NA,2024-09-15 17:39:07
33,msi_clutch_gm41_lightweight_wireless_gaming_mouse_charging_dock_20_000_dpi_60m_omron_switches_fast_charging_80hr_battery_rgb_mystic_light_6_programmable_buttons_pc_mac,logitech,105.83,4.6,20000_dpi,right_hand,S12-4300860-C54,2024-09-15 17:39:07
34,logitech_g305_lightspeed_wireless_gaming_mouse_hero_12k_sensor_12_000_dpi_lightweight_6_programmable_buttons_250h_battery_life_on_board_memory_pc_mac_blue,asus,74.51,4.6,12000_dpi,right_hand,910-006012,2024-09-15 17:39:07
35,logitech_g_pro_x_superlight_2_lightspeed_wireless_gaming_mouse_lightweight_lightforce_hybrid_switches_hero_2_sensor_32_000_dpi_5_programmable_buttons_usb_c_charging_pc_mac_white,corsair,237.59,4,32000_dpi,right_hand,910-006636,2024-09-15 17:39:07
36,asus_rog_harpe_ace_aim_lab_edition_gaming_mouse_54_g_ultra_lightwieght_connectivity_2_4ghz_rf_bluetooth_wired_36k_dpi_sensor_5_programmable_buttons_rog_speednova_esports_fps_gaming_white,asus,222.47,5,36000_dpi,right_hand,90MP02W0-BMAA10,2024-09-15 17:39:07
